source,gameweek,minutes_coverage
understat,1,1.0
understat,2,1.0
understat,3,1.0
understat,4,1.0
understat,5,1.0
understat,6,1.0
understat,7,1.0
understat,8,1.0
understat,9,1.0
understat,10,1.0
understat,11,1.0
understat,12,1.0
understat,13,1.0
understat,14,1.0
understat,15,1.0
understat,16,1.0
understat,17,1.0
understat,18,1.0
understat,19,1.0
understat,20,1.0
understat,21,1.0
understat,22,1.0
understat,23,1.0
understat,24,1.0
understat,25,1.0
understat,26,1.0
understat,27,1.0
understat,28,1.0
understat,29,1.0
understat,30,1.0
understat,31,1.0
understat,32,1.0
understat,33,1.0
understat,34,1.0
understat,35,1.0
understat,36,1.0
understat,37,1.0
understat,38,1.0
pl,1,1.0
pl,2,1.0
pl,3,0.999
pl,4,1.0
pl,5,1.0
pl,6,1.0
pl,7,1.0
pl,8,1.0
pl,9,1.0
pl,10,1.0
pl,11,1.0
pl,12,1.0
pl,13,1.0
pl,14,0.995
pl,15,1.0
pl,16,1.0
pl,17,1.0
pl,18,1.0
pl,19,1.0
pl,20,1.0
pl,21,1.0
pl,22,1.0
pl,23,1.0
pl,24,1.0
pl,25,0.993
pl,26,1.0
pl,27,1.0
pl,28,1.0
pl,29,1.0
pl,30,1.0
pl,31,1.0
pl,32,1.0
pl,33,1.0
pl,34,1.0
pl,35,1.0
pl,36,1.0
pl,37,1.0
pl,38,1.0
