source,source_id,source_name,source_team,fpl_id,fpl_name,method,confidence,flagged
pl,33231,Dominik Szoboszlai,LIV,387,Dominik Szoboszlai,override,1.0,False
pl,63633,Alexis Mac Allister,LIV,386,Alexis Mac Allister,override,1.0,False
pl,116665,Milos Kerkez,LIV,371,Milos Kerkez,override,1.0,False
pl,32894,Cody Gakpo,LIV,384,Cody Gakpo,override,1.0,False
pl,5178,Mohamed Salah,LIV,381,Mohamed Salah,override,1.0,False
pl,19919,Jeremie Frimpong,LIV,370,Jeremie Frimpong,override,1.0,False
pl,20559,Alisson Becker,LIV,366,Alisson Becker,override,1.0,False
pl,75382,Florian Wirtz,LIV,382,Florian Wirtz,override,1.0,False
pl,23593,Ibrahima Konaté,LIV,374,Ibrahima Konaté,override,1.0,False
pl,81542,Hugo Ekitiké,LIV,661,Hugo Ekitiké,override,1.0,False
pl,5140,Virgil van Dijk,LIV,373,Virgil van Dijk,override,1.0,False
pl,130665,Trey Nyoni,LIV,396,Trey Nyoni,override,1.0,False
pl,10458,Andy Robertson,LIV,372,Andrew Robertson,override,1.0,False
pl,116496,Giorgi Mamardashvili,LIV,367,Giorgi Mamardashvili,override,1.0,False
pl,43586,Wataru Endo,LIV,392,Endo Wataru,override,1.0,False
pl,33185,Harvey Elliott,LIV,389,Harvey Elliott,override,1.0,False
pl,10651,Joe Gomez,LIV,376,Joe Gomez,override,1.0,False
pl,134796,Rio Ngumoha,LIV,686,Rio Ngumoha,override,1.0,False
pl,23815,Curtis Jones,LIV,388,Curtis Jones,override,1.0,False
pl,15802,Federico Chiesa,LIV,385,Federico Chiesa,override,1.0,False
pl,74976,Alex Scott,BOU,90,Alex Scott,override,1.0,False
pl,14846,Marcus Tavernier,BOU,84,Marcus Tavernier,override,1.0,False
pl,42894,Tyler Adams,BOU,85,Tyler Adams,override,1.0,False
pl,132285,Bafodé Diakité,BOU,685,Bafodé Diakité,override,1.0,False
pl,54989,Marcos Senesi,BOU,72,Marcos Senesi Barón,override,1.0,False
pl,3512,Adam Smith,BOU,73,Adam Smith,override,1.0,False
