source,source_id,source_name,source_team,fpl_id,fpl_name,method,confidence,flagged
understat,1257,Alisson,LIV,366,Alisson Becker,override,1.0,False
understat,9328,Jeremie Frimpong,LIV,370,Jeremie Frimpong,override,1.0,False
understat,833,Virgil van Dijk,LIV,373,Virgil van Dijk,override,1.0,False
understat,6326,Ibrahima Konaté,LIV,374,Ibrahima Konaté,override,1.0,False
understat,11709,Milos Kerkez,LIV,371,Milos Kerkez,override,1.0,False
understat,9788,Dominik Szoboszlai,LIV,387,Dominik Szoboszlai,override,1.0,False
understat,8379,Alexis Mac Allister,LIV,386,Alexis Mac Allister,override,1.0,False
understat,1250,Mohamed Salah,LIV,381,Mohamed Salah,override,1.0,False
understat,8397,Florian Wirtz,LIV,382,Florian Wirtz,override,1.0,False
understat,11296,Cody Gakpo,LIV,384,Cody Gakpo,override,1.0,False
understat,8995,Hugo Ekitike,LIV,661,Hugo Ekitiké,override,1.0,False
understat,8808,Wataru Endo,LIV,392,Endo Wataru,override,1.0,False
understat,1688,Andrew Robertson,LIV,372,Andrew Robertson,override,1.0,False
understat,987,Joseph Gomez,LIV,376,Joe Gomez,override,1.0,False
understat,1433,Federico Chiesa,LIV,385,Federico Chiesa,override,1.0,False
understat,6665,Curtis Jones,LIV,388,Curtis Jones,override,1.0,False
understat,12032,Djordje Petrovic,BOU,67,Đorđe Petrović,override,1.0,False
understat,825,Adam Smith,BOU,73,Adam Smith,override,1.0,False
understat,10864,Marcos Senesi,BOU,72,Marcos Senesi Barón,override,1.0,False
understat,7268,Bafode Diakite,BOU,685,Bafodé Diakité,override,1.0,False
understat,8640,Adrien Truffert,BOU,74,Adrien Truffert,override,1.0,False
understat,7352,Tyler Adams,BOU,85,Tyler Adams,override,1.0,False
understat,11363,Antoine Semenyo,BOU,82,Antoine Semenyo,override,1.0,False
understat,12149,Alex Scott,BOU,90,Alex Scott,override,1.0,False
understat,10741,Marcus Tavernier,BOU,84,Marcus Tavernier,override,1.0,False
understat,6820,David Brooks,BOU,86,David Brooks,override,1.0,False
understat,12963,Evanilson,BOU,97,Francisco Evanilson de Lima Barbosa,override,1.0,False
understat,6986,Hamed Junior Traore,BOU,93,Hamed Traorè,override,1.0,False
understat,11504,Eli Junior Kroupi,BOU,100,Junior Kroupi,override,1.0,False
understat,13242,Ben Winterburn,BOU,96,Ben Winterburn,override,1.0,False
understat,10747,James Hill,BOU,77,James Hill,override,1.0,False
understat,9614,Marco Bizot,AVL,33,Marco Bizot,override,1.0,False
understat,8864,Matthew Cash,AVL,36,Matty Cash,override,1.0,False
understat,1024,Tyrone Mings,AVL,40,Tyrone Mings,override,1.0,False
understat,7726,Ezri Konsa Ngoyo,AVL,38,Ezri Konsa Ngoyo,override,1.0,False
understat,1823,Lucas Digne,AVL,37,Lucas Digne,override,1.0,False
understat,5789,Boubacar Kamara,AVL,58,Boubacar Kamara,override,1.0,False
understat,9667,Amadou Onana,AVL,59,Amadou Onana,override,1.0,False
understat,7723,John McGinn,AVL,54,John McGinn,override,1.0,False
understat,5956,Youri Tielemans,AVL,48,Youri Tielemans,override,1.0,False
understat,12412,Morgan Rogers,AVL,47,Morgan Rogers,override,1.0,False
understat,8865,Ollie Watkins,AVL,64,Ollie Watkins,override,1.0,False
understat,9749,Donyell Malen,AVL,53,Donyell Malen,override,1.0,False
understat,5552,Nick Pope,NEW,469,Nick Pope,override,1.0,False
understat,652,Kieran Trippier,NEW,478,Kieran Trippier,override,1.0,False
