source,source_id,fpl_id
understat,987,376
understat,12032,67
understat,6986,93
understat,11504,100
understat,8864,36
understat,9512,477
understat,13206,164
understat,12410,335
understat,13715,531
understat,7332,605
understat,6935,607
understat,9451,676
understat,13200,645
understat,11763,406
understat,8094,417
understat,11592,411
understat,8127,452
understat,7298,11
understat,2517,17
understat,12014,293
understat,8056,696
understat,8831,574
understat,9024,712
understat,12168,713
understat,12358,608
understat,14099,539
understat,12203,396
understat,14134,745
understat,5613,5
understat,900,326
understat,7365,612
understat,11633,252
understat,6122,699
understat,7943,149
fbref,Andy Robertson|LIV,372
fbref,Hamed Junior Traorè|BOU,93
fbref,Eli Junior Kroupi|BOU,100
fbref,Joshua King|FUL,335
fbref,Max Kilman|WHU,605
fbref,Nicolás González|MCI,423
fbref,Estêvão Willian|CHE,238
fbref,Joshua Acheampong|CHE,233
fbref,Ben White|ARS,11
fbref,Emi Buendía|AVL,50
fbref,Vitaliy Mykolenko|EVE,292
fbref,Oliver Scarles|WHU,608
fbref,Jaydon Amauri Banel|BUR,213
fbref,Adama Traoré|FUL,326
fbref,Lucas Paquetá|WHU,612
fbref,Marc Guiu|SUN,252
fbref,Douglas Luiz|NFO,699
fbref,Igor|WHU,149
pl,10458,372
pl,134403,67
pl,19864,531
pl,55776,612
pl,14548,11
pl,133612,301
pl,64328,223
pl,9651,629
