understat_match_id,kickoff_date,venue,minute,team,conceded_by,player,understat_id,x,y,zone,xg,result,situation,shot_type
28778,2025-08-15,A,2,LIV,BOU,Hugo Ekitike,8995,0.762,0.699,out_of_box,0.0146,SavedShot,OpenPlay,RightFoot
28778,2025-08-15,A,3,LIV,BOU,Mohamed Salah,1250,0.856,0.313,penalty_area,0.0427,SavedShot,OpenPlay,LeftFoot
28778,2025-08-15,A,4,LIV,BOU,Virgil van Dijk,833,0.914,0.505,penalty_area,0.258,MissedShots,FromCorner,Head
28778,2025-08-15,A,30,LIV,BOU,Virgil van Dijk,833,0.912,0.532,penalty_area,0.0777,SavedShot,FromCorner,Head
28778,2025-08-15,A,36,LIV,BOU,Hugo Ekitike,8995,0.891,0.524,penalty_area,0.4041,Goal,OpenPlay,RightFoot
28778,2025-08-15,A,38,LIV,BOU,Hugo Ekitike,8995,0.942,0.483,penalty_area,0.5348,MissedShots,OpenPlay,Head
28778,2025-08-15,A,47,LIV,BOU,Mohamed Salah,1250,0.85,0.427,penalty_area,0.1134,BlockedShot,OpenPlay,LeftFoot
28778,2025-08-15,A,46,LIV,BOU,Hugo Ekitike,8995,0.961,0.521,six_yard,0.1347,MissedShots,FromCorner,OtherBodyPart
28778,2025-08-15,A,48,LIV,BOU,Cody Gakpo,11296,0.851,0.492,penalty_area,0.0957,Goal,OpenPlay,RightFoot
28778,2025-08-15,A,51,LIV,BOU,Alexis Mac Allister,8379,0.76,0.348,out_of_box,0.0272,SavedShot,OpenPlay,RightFoot
28778,2025-08-15,A,52,LIV,BOU,Jeremie Frimpong,9328,0.754,0.372,out_of_box,0.0156,BlockedShot,FromCorner,RightFoot
28778,2025-08-15,A,53,LIV,BOU,Dominik Szoboszlai,9788,0.709,0.557,out_of_box,0.0146,MissedShots,OpenPlay,RightFoot
28778,2025-08-15,A,62,LIV,BOU,Florian Wirtz,8397,0.84,0.458,out_of_box,0.111,MissedShots,OpenPlay,RightFoot
28778,2025-08-15,A,69,LIV,BOU,Cody Gakpo,11296,0.852,0.761,penalty_area,0.033,SavedShot,OpenPlay,RightFoot
28778,2025-08-15,A,79,LIV,BOU,Dominik Szoboszlai,9788,0.855,0.442,penalty_area,0.0939,MissedShots,OpenPlay,LeftFoot
28778,2025-08-15,A,80,LIV,BOU,Dominik Szoboszlai,9788,0.865,0.336,penalty_area,0.0512,SavedShot,OpenPlay,RightFoot
28778,2025-08-15,A,87,LIV,BOU,Cody Gakpo,11296,0.909,0.624,penalty_area,0.0701,MissedShots,SetPiece,RightFoot
28778,2025-08-15,A,87,LIV,BOU,Federico Chiesa,1433,0.898,0.534,penalty_area,0.099,Goal,OpenPlay,RightFoot
28778,2025-08-15,A,93,LIV,BOU,Mohamed Salah,1250,0.899,0.613,penalty_area,0.1389,Goal,OpenPlay,RightFoot
28778,2025-08-15,H,5,BOU,LIV,Antoine Semenyo,11363,0.908,0.444,penalty_area,0.3169,MissedShots,OpenPlay,RightFoot
28778,2025-08-15,H,9,BOU,LIV,Evanilson,12963,0.949,0.411,six_yard,0.0717,MissedShots,FromCorner,Head
28778,2025-08-15,H,34,BOU,LIV,Marcus Tavernier,10741,0.87,0.521,penalty_area,0.351,SavedShot,OpenPlay,RightFoot
28778,2025-08-15,H,41,BOU,LIV,David Brooks,6820,0.855,0.685,penalty_area,0.0386,BlockedShot,OpenPlay,RightFoot
28778,2025-08-15,H,46,BOU,LIV,Marcus Tavernier,10741,0.75,0.315,out_of_box,0.0455,BlockedShot,DirectFreekick,LeftFoot
28778,2025-08-15,H,48,BOU,LIV,Evanilson,12963,0.877,0.656,penalty_area,0.0973,MissedShots,OpenPlay,LeftFoot
28778,2025-08-15,H,63,BOU,LIV,Antoine Semenyo,11363,0.908,0.513,penalty_area,0.426,Goal,OpenPlay,LeftFoot
28778,2025-08-15,H,70,BOU,LIV,David Brooks,6820,0.896,0.63,penalty_area,0.0771,BlockedShot,OpenPlay,LeftFoot
28778,2025-08-15,H,70,BOU,LIV,Evanilson,12963,0.912,0.595,penalty_area,0.0532,MissedShots,OpenPlay,Head
28778,2025-08-15,H,75,BOU,LIV,Antoine Semenyo,11363,0.825,0.483,out_of_box,0.0956,Goal,OpenPlay,LeftFoot
28779,2025-08-16,A,46,AVL,NEW,Boubacar Kamara,5789,0.901,0.473,penalty_area,0.1752,SavedShot,FromCorner,Head
28779,2025-08-16,A,64,AVL,NEW,Ollie Watkins,8865,0.847,0.417,penalty_area,0.08,SavedShot,OpenPlay,LeftFoot
28779,2025-08-16,A,86,AVL,NEW,Donyell Malen,9749,0.894,0.265,penalty_area,0.0635,SavedShot,OpenPlay,RightFoot
28779,2025-08-16,H,2,NEW,AVL,Anthony Elanga,9524,0.868,0.433,penalty_area,0.5098,SavedShot,OpenPlay,RightFoot
28779,2025-08-16,H,2,NEW,AVL,Anthony Gordon,8150,0.847,0.648,penalty_area,0.0538,BlockedShot,OpenPlay,RightFoot
28779,2025-08-16,H,7,NEW,AVL,Anthony Gordon,8150,0.848,0.617,penalty_area,0.0206,BlockedShot,SetPiece,RightFoot
28779,2025-08-16,H,10,NEW,AVL,Anthony Gordon,8150,0.93,0.47,penalty_area,0.4055,MissedShots,OpenPlay,Head
28779,2025-08-16,H,12,NEW,AVL,Anthony Elanga,9524,0.912,0.362,penalty_area,0.0593,MissedShots,OpenPlay,RightFoot
28779,2025-08-16,H,15,NEW,AVL,Anthony Gordon,8150,0.784,0.613,out_of_box,0.0233,SavedShot,SetPiece,RightFoot
28779,2025-08-16,H,26,NEW,AVL,Anthony Gordon,8150,0.849,0.651,penalty_area,0.0749,BlockedShot,OpenPlay,RightFoot
28779,2025-08-16,H,27,NEW,AVL,Fabian Schär,76,0.738,0.346,out_of_box,0.0145,MissedShots,OpenPlay,RightFoot
