element,web_name,team,position,price,total_mins,total_starts,season_ok,gw4_ok,season_ppg,gw4_ppg,season_start_rate,season_mins90_rate,season_rotation_risk,gw4_start_rate,gw4_mins90_rate,gw4_rotation_risk,season_value_score,gw4_value_score,season_save_score,season_cs_score,season_bps_score,gw4_save_score,gw4_cs_score,gw4_bps_score,season_dc_score,season_attacking_score,gw4_dc_score,gw4_attacking_score,season_set_piece_score,gw4_set_piece_score,season_goal_score,season_creative_score,gw4_goal_score,gw4_creative_score,season_shot_quality_score,season_creativity_depth_score,season_finishing_skill_score,gw4_shot_quality_score,gw4_creativity_depth_score,gw4_finishing_skill_score,season_save_score_norm,gw4_save_score_norm,season_cs_score_norm,gw4_cs_score_norm,season_bps_score_norm,gw4_bps_score_norm,season_value_score_norm,gw4_value_score_norm,season_reliability_score_norm,season_mins90_score_norm,gw4_reliability_score_norm,gw4_mins90_score_norm,season_dc_score_norm,gw4_dc_score_norm,season_attacking_score_norm,gw4_attacking_score_norm,season_set_piece_score_norm,gw4_set_piece_score_norm,season_goal_score_norm,gw4_goal_score_norm,season_creative_score_norm,gw4_creative_score_norm,season_shot_quality_score_norm,gw4_shot_quality_score_norm,season_creativity_depth_score_norm,gw4_creativity_depth_score_norm,season_finishing_skill_score_norm,gw4_finishing_skill_score_norm,season_att_goal_score_norm,gw4_att_goal_score_norm,season_att_creative_score_norm,gw4_att_creative_score_norm,season_att_dc_score_norm,gw4_att_dc_score_norm,season_att_bps_score_norm,gw4_att_bps_score_norm,season_att_value_score_norm,gw4_att_value_score_norm,season_att_reliability_norm,season_att_mins90_norm,gw4_att_reliability_norm,gw4_att_mins90_norm,season_overall_score,season_att_overall_score,gw4_overall_score,gw4_att_overall_score,season_save_score_rating,gw4_save_score_rating,season_cs_score_rating,gw4_cs_score_rating,season_bps_score_rating,gw4_bps_score_rating,season_value_score_rating,gw4_value_score_rating,season_reliability_score_rating,season_mins90_score_rating,gw4_reliability_score_rating,gw4_mins90_score_rating,season_dc_score_rating,gw4_dc_score_rating,season_attacking_score_rating,gw4_attacking_score_rating,season_set_piece_score_rating,gw4_set_piece_score_rating,season_goal_score_rating,gw4_goal_score_rating,season_creative_score_rating,gw4_creative_score_rating,season_shot_quality_score_rating,gw4_shot_quality_score_rating,season_creativity_depth_score_rating,gw4_creativity_depth_score_rating,season_finishing_skill_score_rating,gw4_finishing_skill_score_rating,season_att_goal_score_rating,gw4_att_goal_score_rating,season_att_creative_score_rating,gw4_att_creative_score_rating,season_att_dc_score_rating,gw4_att_dc_score_rating,season_att_bps_score_rating,gw4_att_bps_score_rating,season_att_value_score_rating,gw4_att_value_score_rating,season_att_reliability_rating,season_att_mins90_rating,gw4_att_reliability_rating,gw4_att_mins90_rating,season_overall_rating,season_att_overall_rating,gw4_overall_rating,gw4_att_overall_rating,code,selected_by_percent
1,Raya,ARS,GKP,6.2,3330,37,True,True,4.378,7.0,0.974,1.0,0.016,0.75,1.0,0.15,0.7061290322580646,1.129032258064516,1.2932947368421053,0.6134295857988166,10.3836,1.0331,0.9367611940298507,14.467,,,,,,,,,,,,,,,,,1.0,1.0,5.0,5.0,5.0,5.0,3.0305926946695525,5.0,4.853727144866385,5.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.978,,3.4,,⭐,⭐,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐,⭐⭐⭐⭐⭐,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,⭐⭐⭐⭐,N/A,⭐⭐⭐½,N/A,154561,36.4
5,Gabriel,ARS,DEF,7.3,2750,30,True,True,6.531,6.0,0.789,0.967,0.126,0.75,1.0,0.15,0.8946575342465753,0.8219178082191781,,0.6156957637997432,14.6098,,0.819888056206089,15.4286,2.411236842105263,0.074096,2.1965,0.093556,0.164,0.0,,,,,,,,,,,,,4.52382761614847,3.7819464346487,5.0,4.528792645922675,4.373722083044614,3.1972964082215647,3.812939521800281,4.818431911966988,1.0,5.0,3.7506732507067198,2.901725727835595,2.395619922288944,1.7945307855626327,1.0776975008883098,1.0,,,,,,,,,,,,,,,,,,,,,,,,,4.029,,3.063,,N/A,N/A,⭐⭐⭐⭐½,⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐⭐½,⭐⭐⭐⭐½,⭐⭐⭐,⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐,⭐⭐⭐⭐⭐,⭐⭐⭐⭐,⭐⭐⭐,⭐⭐½,⭐⭐,⭐,⭐,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,⭐⭐⭐⭐,N/A,⭐⭐⭐,N/A,226597,45.4
6,Saliba,ARS,DEF,6.3,2614,30,True,True,4.419,6.333,0.789,0.933,0.153,0.75,1.0,0.15,0.7014285714285714,1.0052380952380953,,0.5737674247886216,12.1676,,0.9367611940298507,16.267,1.7138815789473685,0.03732800000000001,1.75,0.1024,0.31,0.0,,,,,,,,,,,,,4.198460127520798,4.274531241704539,4.174862741785624,4.716541075567399,3.4514359829534924,3.732560321212804,3.812939521800281,4.631361760660248,1.0,5.0,2.6590751105778887,2.4311684890001315,1.5838926174496644,1.8696390658174096,1.1468672272888782,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.459,,3.157,,N/A,N/A,⭐⭐⭐⭐,⭐⭐⭐⭐½,⭐⭐⭐⭐,⭐⭐⭐⭐½,⭐⭐⭐½,⭐⭐⭐½,⭐⭐⭐⭐,⭐⭐⭐⭐½,⭐,⭐⭐⭐⭐⭐,⭐⭐½,⭐⭐½,⭐½,⭐⭐,⭐,⭐,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,⭐⭐⭐½,N/A,⭐⭐⭐,N/A,462424,17.1
7,Calafiori,ARS,DEF,5.6,1697,22,True,True,4.192,4.0,0.579,0.364,0.307,1.0,0.25,0.2,0.7485714285714287,0.7142857142857143,,0.6770575096277278,12.5058,,1.108889544235925,11.0436,1.3522500000000002,0.08460799999999999,0.6275,0.12035200000000001,1.114,0.0,,,,,,,,,,,,,5.0,5.0,4.289129149421404,3.54683073753513,3.67644987956272,2.8830290857166556,2.631504922644163,1.500687757909216,5.0,1.0,2.0929987075646093,1.2481886444473718,2.6276933945602257,2.0220976645435247,1.5277744877413242,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.426,,3.385,,N/A,N/A,⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐,⭐⭐⭐⭐½,⭐⭐⭐½,⭐⭐⭐½,⭐⭐⭐,⭐⭐½,⭐½,⭐⭐⭐⭐⭐,⭐,⭐⭐,⭐,⭐⭐½,⭐⭐,⭐½,⭐,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,⭐⭐⭐½,N/A,⭐⭐⭐½,N/A,466075,6.0
8,J.Timber,ARS,DEF,6.0,2452,28,True,False,4.967,0.0,0.737,0.821,0.186,0.0,0.0,0.0,0.8278333333333333,0.0,,0.5764580369843527,11.8482,,,,1.3977236842105263,0.08760400000000002,,,1.725,,,,,,,,,,,,,,4.219339507759633,,4.066948221978208,,4.054768698659749,,3.5203938115330518,4.015130674002751,,,2.1641804878299955,,2.6938361003179088,,1.8172450550752104,,,,,,,,,,,,,,,,,,,,,,,,,,3.442,,,,N/A,N/A,⭐⭐⭐⭐,N/A,⭐⭐⭐⭐,N/A,⭐⭐⭐⭐,N/A,⭐⭐⭐½,⭐⭐⭐⭐,N/A,N/A,⭐⭐,N/A,⭐⭐½,N/A,⭐⭐,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,⭐⭐⭐½,N/A,N/A,N/A,445122,15.2
10,Lewis-Skelly,ARS,DEF,5.0,697,5,False,True,0.0,3.75,0.0,0.0,0.0,0.75,1.0,0.15,0.0,0.75,,,,,0.683366515837104,12.418199999999999,,,0.392,0.02176,,0.0,,,,,,,,,,,,,,3.206549573797499,,3.8546539619979616,,2.987308697275103,,,1.0,5.0,,1.0,,1.1847983014861996,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.318,,N/A,N/A,N/A,⭐⭐⭐,N/A,⭐⭐⭐⭐,N/A,⭐⭐⭐,N/A,N/A,⭐,⭐⭐⭐⭐⭐,N/A,⭐,N/A,⭐,N/A,⭐,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,⭐⭐½,N/A,499169,1.9
16,Saka,ARS,MID,10.0,2218,25,True,True,5.065,7.667,0.658,0.64,0.237,0.75,0.333,0.283,0.5065000000000001,0.7666999999999999,,,14.1694,,,18.5888,0.7555394736842105,,0.96625,,5.356,4.626,0.30584736,0.339095,0.25771968000000006,0.6557799999999999,0.1118,1.102,-0.57,0.0564,0.653,0.46,,,,,3.6483193626027055,4.507445141065832,2.4639326129498853,2.999692108108108,3.1438263229308006,3.6283367556468176,1.0,2.332,1.9011142866317718,2.425918449737586,,,3.713959969597162,2.6821818181818182,3.55586048914142,1.746702871892,3.52507386694748,4.687627402190262,2.594244604316547,1.4260965720604497,3.401125967628431,2.150153217568948,2.583566760037348,3.742857142857143,2.420608456373451,1.746702871892,3.5349892864033787,4.687627402190262,1.9586385124487868,2.425918449737586,3.77777444240987,3.34101761654986,2.4639326129498853,3.0256761586638827,3.1438263229308006,3.6283367556468176,1.0,2.332,3.343,3.056,2.822,2.603,N/A,N/A,N/A,N/A,⭐⭐⭐½,⭐⭐⭐⭐½,⭐⭐½,⭐⭐⭐,⭐⭐⭐,⭐⭐⭐½,⭐,⭐⭐½,⭐⭐,⭐⭐½,N/A,N/A,⭐⭐⭐½,⭐⭐½,⭐⭐⭐½,⭐½,⭐⭐⭐½,⭐⭐⭐⭐½,⭐⭐½,⭐½,⭐⭐⭐½,⭐⭐,⭐⭐½,⭐⭐⭐½,⭐⭐½,⭐½,⭐⭐⭐½,⭐⭐⭐⭐½,⭐⭐,⭐⭐½,⭐⭐⭐⭐,⭐⭐⭐½,⭐⭐½,⭐⭐⭐,⭐⭐⭐,⭐⭐⭐½,⭐,⭐⭐½,⭐⭐⭐½,⭐⭐⭐,⭐⭐⭐,⭐⭐½,223340,11.6
17,Ødegaard,ARS,MID,7.8,1363,16,True,False,3.083,0.0,0.421,0.5,0.472,0.0,0.0,0.0,0.3952564102564103,0.0,,,12.254999999999999,,,,0.541407894736842,,,,1.915,,0.07635232,0.30659,,,0.0554,1.276,-0.25,,,,,,,,3.0127811436633745,,1.8733089423976856,,1.85753052917232,3.053388090349076,,,1.483041649272663,,,,1.9703572333417787,,1.554281955248708,,3.259214198811994,,1.512230215827338,,3.890921885995778,,2.703081232492997,,1.3080831822342696,,3.270916901079483,,1.548326504884967,,3.2031038933749585,,1.8733089423976856,,1.85753052917232,3.053388090349076,,,2.336,2.296,,,N/A,N/A,N/A,N/A,⭐⭐⭐,N/A,⭐⭐,N/A,⭐⭐,⭐⭐⭐,N/A,N/A,⭐½,N/A,N/A,N/A,⭐⭐,N/A,⭐½,N/A,⭐⭐⭐½,N/A,⭐½,N/A,⭐⭐⭐⭐,N/A,⭐⭐½,N/A,⭐½,N/A,⭐⭐⭐½,N/A,⭐½,N/A,⭐⭐⭐,N/A,⭐⭐,N/A,⭐⭐,⭐⭐⭐,N/A,N/A,⭐⭐½,⭐⭐½,N/A,N/A,184029,1.7
18,Madueke,ARS,MID,6.8,1205,16,True,False,2.769,0.0,0.421,0.0,0.472,0.0,0.0,0.0,0.4072058823529412,0.0,,,11.6514,,,,0.6535,,,,6.349,,0.12372799999999999,0.232295,,,0.0799,0.749,1.77,,,,,,,,2.812399369242261,,1.9367520683079662,,1.85753052917232,1.0,,,1.7018913971934109,,,,4.217126931846972,,1.9674766984404137,,2.6515524838719573,,1.9822541966426859,,2.4074595355383535,,3.4575163398692808,,1.5377467138710759,,2.6673402861698126,,1.76311377245509,,3.021913367153964,,1.9367520683079662,,1.85753052917232,1.0,,,2.105,2.021,,,N/A,N/A,N/A,N/A,⭐⭐⭐,N/A,⭐⭐,N/A,⭐⭐,⭐,N/A,N/A,⭐½,N/A,N/A,N/A,⭐⭐⭐⭐,N/A,⭐⭐,N/A,⭐⭐½,N/A,⭐⭐,N/A,⭐⭐½,N/A,⭐⭐⭐½,N/A,⭐½,N/A,⭐⭐½,N/A,⭐⭐,N/A,⭐⭐⭐,N/A,⭐⭐,N/A,⭐⭐,⭐,N/A,N/A,⭐⭐,⭐⭐,N/A,N/A,248857,0.8
19,Martinelli,ARS,MID,6.8,1065,11,True,False,1.9,0.0,0.289,0.182,0.644,0.0,0.0,0.0,0.27941176470588236,0.0,,,9.988999999999999,,,,0.52825,,,,3.38,,0.31362618000000003,0.17746,,,0.1847,1.152,-3.12,,,,,,,,2.260519545190472,,1.2582569656808524,,1.1411126187245588,1.7474332648870636,,,1.4573520439292253,,,,2.7126931846972386,,3.6237047402895723,,2.203054871129014,,3.9928057553956835,,3.541871921182266,,1.6311858076563956,,2.4583179155974033,,2.22185776811918,,1.52311377245509,,2.5228889622669826,,1.2582569656808524,,1.1411126187245588,1.7474332648870636,,,2.33,2.03,,,N/A,N/A,N/A,N/A,⭐⭐½,N/A,⭐½,N/A,⭐,⭐½,N/A,N/A,⭐½,N/A,N/A,N/A,⭐⭐½,N/A,⭐⭐⭐½,N/A,⭐⭐,N/A,⭐⭐⭐⭐,N/A,⭐⭐⭐½,N/A,⭐½,N/A,⭐⭐½,N/A,⭐⭐,N/A,⭐½,N/A,⭐⭐½,N/A,⭐½,N/A,⭐,⭐½,N/A,N/A,⭐⭐½,⭐⭐,N/A,N/A,444145,0.9
