element,web_name,team,position,fdr_level,games_played,avg_pts,avg_xg,avg_xa,avg_minutes,goals,assists,clean_sheets
1,Raya,ARS,GKP,1,2,4.0,0.0,0.005,90.0,0,0,1
1,Raya,ARS,GKP,2,7,4.86,0.0,0.0,90.0,0,0,5
1,Raya,ARS,GKP,3,22,4.05,0.0,0.001,85.9,0,0,10
1,Raya,ARS,GKP,4,8,4.12,0.0,0.005,90.0,0,0,3
5,Gabriel,ARS,DEF,1,2,3.0,0.0,0.02,45.0,0,0,1
5,Gabriel,ARS,DEF,2,7,6.57,0.114,0.109,90.0,0,2,5
5,Gabriel,ARS,DEF,3,22,6.18,0.095,0.047,71.8,3,4,9
5,Gabriel,ARS,DEF,4,8,3.5,0.02,0.01,67.5,0,0,3
6,Saliba,ARS,DEF,1,2,5.0,0.0,0.015,90.0,0,0,1
6,Saliba,ARS,DEF,2,7,4.57,0.0,0.054,77.1,0,0,5
6,Saliba,ARS,DEF,3,22,3.32,0.034,0.024,69.5,1,0,7
6,Saliba,ARS,DEF,4,8,2.5,0.016,0.032,45.5,0,0,2
7,Calafiori,ARS,DEF,1,2,4.0,0.0,0.065,35.5,0,0,1
7,Calafiori,ARS,DEF,2,7,5.57,0.126,0.013,53.4,0,2,5
7,Calafiori,ARS,DEF,3,22,2.05,0.059,0.021,38.9,0,0,6
7,Calafiori,ARS,DEF,4,8,2.38,0.148,0.011,50.9,1,0,1
10,Lewis-Skelly,ARS,DEF,1,2,1.0,0.025,0.015,38.0,0,0,0
10,Lewis-Skelly,ARS,DEF,2,7,1.29,0.0,0.01,18.9,0,0,1
10,Lewis-Skelly,ARS,DEF,3,22,0.73,0.002,0.004,17.7,0,0,1
10,Lewis-Skelly,ARS,DEF,4,8,0.25,0.0,0.002,12.5,0,0,0
16,Saka,ARS,MID,1,2,10.5,0.115,0.355,90.0,0,3,1
16,Saka,ARS,MID,2,7,5.86,0.34,0.313,52.7,4,1,2
16,Saka,ARS,MID,3,22,3.68,0.192,0.125,54.6,3,4,6
16,Saka,ARS,MID,4,8,3.38,0.16,0.206,70.0,1,2,3
20,Trossard,ARS,MID,1,2,2.0,0.055,0.16,61.5,0,0,1
20,Trossard,ARS,MID,2,7,3.71,0.127,0.173,68.4,0,3,4
20,Trossard,ARS,MID,3,22,3.55,0.176,0.085,54.0,5,3,5
20,Trossard,ARS,MID,4,8,1.62,0.112,0.026,36.2,1,0,1
21,Rice,ARS,MID,1,2,3.5,0.07,0.085,90.0,0,0,1
21,Rice,ARS,MID,2,7,7.71,0.089,0.27,84.4,2,2,5
21,Rice,ARS,MID,3,22,4.77,0.089,0.215,77.3,2,7,9
21,Rice,ARS,MID,4,8,3.75,0.059,0.145,89.0,0,1,3
32,Martinez,AVL,GKP,1,2,4.0,0.0,0.0,90.0,0,0,1
32,Martinez,AVL,GKP,2,6,3.5,0.0,0.005,90.0,0,1,1
32,Martinez,AVL,GKP,3,20,3.4,0.0,0.002,69.8,0,0,4
32,Martinez,AVL,GKP,4,8,2.75,0.0,0.001,78.8,0,0,1
32,Martinez,AVL,GKP,5,2,0.5,0.0,0.0,45.0,0,0,0
36,Cash,AVL,DEF,1,2,4.0,0.02,0.03,86.5,0,0,1
36,Cash,AVL,DEF,2,6,2.0,0.015,0.093,87.5,0,0,1
36,Cash,AVL,DEF,3,20,3.25,0.03,0.09,82.4,1,2,5
36,Cash,AVL,DEF,4,8,3.88,0.052,0.065,78.2,2,1,1
36,Cash,AVL,DEF,5,2,0.5,0.0,0.005,22.5,0,0,0
39,Maatsen,AVL,DEF,1,2,0.5,0.0,0.0,0.5,0,0,0
39,Maatsen,AVL,DEF,2,6,1.5,0.04,0.083,42.0,0,1,0
39,Maatsen,AVL,DEF,3,20,1.4,0.037,0.06,45.0,0,0,2
39,Maatsen,AVL,DEF,4,8,1.38,0.032,0.07,43.4,0,0,0
39,Maatsen,AVL,DEF,5,2,2.5,0.01,0.07,45.0,0,0,0
40,Mings,AVL,DEF,1,2,0.0,0.0,0.0,0.0,0,0,0
40,Mings,AVL,DEF,2,6,0.67,0.027,0.047,50.2,0,0,0
40,Mings,AVL,DEF,3,20,1.9,0.039,0.007,41.2,0,1,3
40,Mings,AVL,DEF,4,8,0.5,0.045,0.001,13.2,0,0,0
