element,web_name,team,position,avg_fdr_4gw,avg_fdr_6gw,avg_pts_4gw,avg_pts_6gw
1,Raya,ARS,GKP,2.25,2.83,5.25,5.33
2,Arrizabalaga,ARS,GKP,2.25,2.83,0.5,0.33
3,Hein,ARS,GKP,2.25,2.83,0.0,0.0
4,Setford,ARS,GKP,2.25,2.83,0.0,0.0
5,Gabriel,ARS,DEF,2.25,2.83,6.0,5.33
6,Saliba,ARS,DEF,2.25,2.83,4.75,4.83
7,Calafiori,ARS,DEF,2.25,2.83,4.0,2.67
8,J.Timber,ARS,DEF,2.25,2.83,0.0,0.0
9,Kiwior,ARS,DEF,2.25,2.83,0.0,0.0
10,Lewis-Skelly,ARS,DEF,2.25,2.83,3.75,2.67
11,White,ARS,DEF,2.25,2.83,1.75,2.33
12,Zinchenko,NFO,DEF,3.5,3.0,0.0,0.0
13,Clarke,ARS,DEF,2.25,2.83,0.0,0.0
14,Kacurri,ARS,DEF,2.25,2.83,0.0,0.0
15,Nichols,ARS,DEF,2.25,2.83,0.0,0.0
16,Saka,ARS,MID,2.25,2.83,5.75,4.0
17,Ødegaard,ARS,MID,2.25,2.83,1.75,2.0
18,Madueke,ARS,MID,2.25,2.83,3.25,2.83
19,Martinelli,ARS,MID,2.25,2.83,2.0,1.5
20,Trossard,ARS,MID,2.25,2.83,4.5,3.17
21,Rice,ARS,MID,2.25,2.83,3.25,2.83
22,Merino,ARS,MID,2.25,2.83,0.25,0.17
23,Fábio Vieira,ARS,MID,2.25,2.83,0.0,0.0
24,Nørgaard,ARS,MID,2.25,2.83,0.25,0.17
25,Nwaneri,ARS,MID,2.25,2.83,0.0,0.0
26,Zubimendi,ARS,MID,2.25,2.83,1.25,2.33
27,Nelson,BRE,MID,3.5,3.33,0.25,0.83
28,Kabia,ARS,MID,2.25,2.83,0.0,0.0
29,Sambi,ARS,MID,2.25,2.83,0.0,0.0
30,Havertz,ARS,FWD,2.25,2.83,3.25,3.83
31,G.Jesus,ARS,FWD,2.25,2.83,1.5,1.0
32,Martinez,AVL,GKP,3.5,3.17,2.5,2.5
33,M.Bizot,AVL,GKP,3.5,3.17,0.5,0.33
34,Gauci,AVL,GKP,3.5,3.17,0.0,0.0
35,Marschall,AVL,GKP,3.5,3.17,0.0,0.0
