element,web_name,team,position,opponent_tier,games_played,avg_pts,avg_xg,avg_xa,total_goals,total_assists,total_cs,avg_bonus
1,Raya,ARS,GKP,Tier 1 - Top 6,10,3.3,0.0,0.005,0,0,2,0.3
1,Raya,ARS,GKP,Tier 2 - Mid Upper,11,3.27,0.0,0.001,0,0,3,0.36
1,Raya,ARS,GKP,Tier 3 - Rest,19,5.05,0.0,0.001,0,0,14,0.21
5,Gabriel,ARS,DEF,Tier 1 - Top 6,10,2.8,0.021,0.067,0,1,2,0.3
5,Gabriel,ARS,DEF,Tier 2 - Mid Upper,11,6.18,0.093,0.021,3,2,3,1.0
5,Gabriel,ARS,DEF,Tier 3 - Rest,19,6.32,0.096,0.054,0,3,13,0.84
6,Saliba,ARS,DEF,Tier 1 - Top 6,10,3.7,0.063,0.03,1,0,2,0.4
6,Saliba,ARS,DEF,Tier 2 - Mid Upper,11,1.36,0.0,0.009,0,0,1,0.09
6,Saliba,ARS,DEF,Tier 3 - Rest,19,4.53,0.013,0.043,0,0,12,0.37
7,Calafiori,ARS,DEF,Tier 1 - Top 6,10,1.9,0.125,0.011,1,0,1,0.2
7,Calafiori,ARS,DEF,Tier 2 - Mid Upper,11,1.09,0.025,0.008,0,0,1,0.09
7,Calafiori,ARS,DEF,Tier 3 - Rest,19,4.21,0.096,0.03,0,2,11,0.16
10,Lewis-Skelly,ARS,DEF,Tier 1 - Top 6,10,0.2,0.0,0.002,0,0,0,0.0
10,Lewis-Skelly,ARS,DEF,Tier 2 - Mid Upper,11,0.55,0.005,0.004,0,0,0,0.0
10,Lewis-Skelly,ARS,DEF,Tier 3 - Rest,19,1.11,0.003,0.007,0,0,2,0.0
16,Saka,ARS,MID,Tier 1 - Top 6,10,2.5,0.128,0.183,0,2,2,0.0
16,Saka,ARS,MID,Tier 2 - Mid Upper,11,4.73,0.274,0.094,3,4,2,0.55
16,Saka,ARS,MID,Tier 3 - Rest,19,4.89,0.202,0.233,5,4,8,0.79
