element,web_name,team,position,minutes,window,saves_per90,cs_per90,xgc_prevented_per90,bps_per90,goals_per90,npxg_per90,xg_delta_per90,xgi_per90,xgi_delta_per90,shots_per90,sot_per90,box_shots_per90,headed_shots_per90,touches_box_per90,assists_per90,xa_per90,xa_delta_per90,chances_created_per90,big_chances_per90,xg_chain_per90,xg_buildup_per90,crosses_per90,sp_deliveries_per90,tackles_per90,cbi_per90,recoveries_per90,def_contrib_per90,peer_group,xgc_prevented_pct,xgc_prevented_pct_pos,npxg_pct,npxg_pct_pos,xa_pct,xa_pct_pos,saves_pct,saves_pct_pos,xg_chain_pct,xg_chain_pct_pos,assists_pct,assists_pct_pos,def_contrib_pct,def_contrib_pct_pos,touches_box_pct,touches_box_pct_pos,box_shots_pct,box_shots_pct_pos,goals_pct,goals_pct_pos,sot_pct,sot_pct_pos,xa_delta_pct,xa_delta_pct_pos,sp_deliveries_pct,sp_deliveries_pct_pos,xgi_pct,xgi_pct_pos,big_chances_pct,big_chances_pct_pos,tackles_pct,tackles_pct_pos,shots_pct,shots_pct_pos,xgi_delta_pct,xgi_delta_pct_pos,chances_created_pct,chances_created_pct_pos,crosses_pct,crosses_pct_pos,xg_delta_pct,xg_delta_pct_pos,headed_shots_pct,headed_shots_pct_pos,xg_buildup_pct,xg_buildup_pct_pos,cbi_pct,cbi_pct_pos,recoveries_pct,recoveries_pct_pos,bps_pct,bps_pct_pos,cs_pct,cs_pct_pos,code
1,Raya,ARS,GKP,3330,season,1.62,0.51,0.04,17.11,,,,,,,,,,,,,,,,,,,,,,,,GKP,58,58,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,99,99,99,154561
5,Gabriel,ARS,DEF,2750,season,,,,,0.1,0.15,0.0,0.15,0.11,0.88,0.2,0.72,0.49,1.51,0.16,0.06,0.11,0.1,0.16,0.29,0.27,0.16,0.0,1.24,7.82,2.09,9.07,DEF,,,94,94,63,63,,,53,53,87,87,76,76,61,61,85,85,85,85,64,64,90,90,37,37,76,76,77,77,25,25,81,81,92,92,8,8,25,25,73,73,85,85,64,64,80,80,3,3,,,,,226597
6,Saliba,ARS,DEF,2614,season,,,,,0.03,0.05,0.0,0.07,-0.04,0.17,0.03,0.17,0.14,0.76,0.0,0.04,-0.04,0.34,0.03,0.38,0.36,0.31,0.0,1.21,5.44,3.89,6.64,DEF,,,50,50,43,43,,,74,74,18,18,36,36,21,21,19,19,54,54,20,20,17,17,37,37,28,28,30,30,24,24,9,9,32,32,44,44,36,36,73,73,49,49,83,83,48,48,59,59,,,,,462424
7,Calafiori,ARS,DEF,1697,season,,,,,0.05,0.18,-0.13,0.22,-0.06,1.7,0.32,1.06,0.58,2.97,0.11,0.04,0.07,0.37,0.0,0.43,0.35,1.11,0.0,1.7,3.71,3.92,5.41,DEF,,,97,97,43,43,,,82,82,73,73,15,15,93,93,97,97,67,67,88,88,77,77,37,37,93,93,13,13,52,52,98,98,19,19,49,49,56,56,2,2,91,91,80,80,19,19,61,61,,,,,466075
8,J.Timber,ARS,DEF,2452,season,,,,,0.11,0.15,-0.06,0.23,0.1,0.92,0.26,0.88,0.4,3.34,0.22,0.06,0.16,0.77,0.15,0.42,0.32,1.69,0.04,2.42,3.01,3.56,5.43,DEF,,,94,94,63,63,,,81,81,95,95,16,16,95,95,93,93,88,88,80,80,96,96,76,76,94,94,74,74,82,82,85,85,89,89,79,79,66,66,12,12,78,78,76,76,8,8,45,45,,,,,445122
10,Lewis-Skelly,ARS,DEF,697,season,,,,,0.0,0.02,-0.01,0.04,-0.04,0.26,0.0,0.26,0.0,1.68,0.0,0.03,-0.03,0.52,0.0,0.27,0.25,0.0,0.0,1.03,2.2,3.87,3.23,DEF,,,21,21,32,32,,,44,44,18,18,2,2,67,67,31,31,25,25,10,10,24,24,37,37,8,8,13,13,14,14,15,15,32,32,62,62,3,3,57,57,12,12,55,55,3,3,58,58,,,,,499169
11,White,ARS,DEF,699,season,,,,,0.0,0.04,-0.06,0.15,-0.02,0.64,0.13,0.39,0.0,2.06,0.13,0.09,0.04,0.9,0.39,0.58,0.41,2.06,0.0,1.93,4.89,3.61,6.82,DEF,,,40,40,81,81,,,94,94,79,79,41,41,80,80,56,56,25,25,46,46,69,69,37,37,76,76,97,97,66,66,58,58,44,44,83,83,72,72,12,12,12,12,88,88,38,38,48,48,,,,,198869
16,Saka,ARS,MID,2218,season,,,,,0.28,0.32,-0.02,0.6,0.09,2.88,1.01,1.95,0.2,7.51,0.41,0.29,0.12,2.27,0.49,0.78,0.33,2.72,2.72,1.62,1.14,4.71,7.47,ATT,,,78,90,98,97,,,91,92,96,96,50,38,96,95,85,95,77,86,88,95,82,83,89,87,94,96,94,92,54,45,91,95,65,66,98,97,86,83,43,43,61,73,79,75,17,16,69,62,,,,,223340
17,Ødegaard,ARS,MID,1363,season,,,,,0.07,0.08,-0.02,0.32,0.2,1.45,0.53,0.59,0.0,2.51,0.46,0.24,0.22,2.18,0.4,0.77,0.5,1.19,0.73,1.25,0.86,4.62,6.74,ATT,,,24,29,94,93,,,90,90,98,97,39,28,39,47,31,37,25,29,53,61,95,94,65,58,60,67,86,84,37,26,44,51,90,90,97,96,53,43,43,43,11,13,97,96,9,9,65,57,,,,,184029
18,Madueke,ARS,MID,1205,season,,,,,0.22,0.15,0.13,0.31,-0.01,1.87,0.67,1.57,0.3,8.59,0.07,0.21,-0.14,1.57,0.52,0.5,0.25,3.51,2.84,1.57,1.05,2.61,5.23,ATT,,,48,59,91,89,,,59,60,22,19,22,11,98,98,75,88,66,76,63,73,3,4,90,88,57,64,95,94,52,42,60,68,35,35,84,81,94,92,95,96,73,85,57,48,14,13,17,4,,,,,248857
