element,web_name,team,position,total_mins_season,starts_last4,pts_per90_season,pts_per90_4gw,pts_delta,xg_per90_season,xg_per90_4gw,xg_delta,xa_per90_season,xa_per90_4gw,xa_delta,xgi_per90_season,xgi_per90_4gw,xgi_delta,saves_per90_season,saves_per90_4gw,saves_delta,streak,pts_threshold_used,total_points_per90_season,goals_scored_per90_season,assists_per90_season,clean_sheets_per90_season,expected_goals_per90_season,expected_assists_per90_season,expected_goal_involvements_per90_season,expected_goals_conceded_per90_season,bonus_per90_season,bps_per90_season,clearances_blocks_interceptions_per90_season,tackles_per90_season,defensive_contribution_per90_season,total_points_per90_4gw,goals_scored_per90_4gw,assists_per90_4gw,clean_sheets_per90_4gw,expected_goals_per90_4gw,expected_assists_per90_4gw,expected_goal_involvements_per90_4gw,expected_goals_conceded_per90_4gw,bonus_per90_4gw,bps_per90_4gw,clearances_blocks_interceptions_per90_4gw,tackles_per90_4gw,defensive_contribution_per90_4gw,total_points_delta,goals_scored_delta,assists_delta,clean_sheets_delta,expected_goals_delta,expected_assists_delta,expected_goal_involvements_delta,expected_goals_conceded_delta,bonus_delta,bps_delta,clearances_blocks_interceptions_delta,tackles_delta,defensive_contribution_delta
1,Raya,ARS,GKP,3330,3,4.378,7.0,2.622,0.0,0.0,0.0,0.002,0.003,0.001,0.002,0.003,0.001,1.622,1.333,-0.289,🔥 Hot,0.876,4.378,0.0,0.0,0.514,0.0,0.002,0.002,0.745,0.297,17.108,1.0,0.027,0.0,7.0,0.0,0.0,1.0,0.0,0.003,0.003,0.57,0.667,23.667,1.333,0.0,0.0,2.622,0.0,0.0,0.486,0.0,0.001,0.001,-0.175,0.37,6.559,0.333,-0.027,0.0
5,Gabriel,ARS,DEF,2750,3,6.84,6.857,0.017,0.096,0.269,0.173,0.057,0.02,-0.037,0.153,0.289,0.136,0.0,0.0,0.0,Neutral,1.368,6.84,0.098,0.164,0.589,0.096,0.057,0.153,0.72,0.982,23.695,7.822,1.244,9.065,6.857,0.0,0.0,0.857,0.269,0.02,0.289,0.754,0.857,25.143,7.429,0.857,8.286,0.017,-0.098,-0.164,0.268,0.173,-0.037,0.136,0.034,-0.125,1.448,-0.393,-0.387,-0.779
6,Saliba,ARS,DEF,2614,3,4.717,6.333,1.616,0.03,0.0,-0.03,0.042,0.16,0.118,0.072,0.16,0.088,0.0,0.0,0.0,🔥 Hot,0.943,4.717,0.034,0.0,0.516,0.03,0.042,0.072,0.703,0.413,20.004,5.44,1.205,6.645,6.333,0.0,0.0,1.0,0.0,0.16,0.16,0.57,0.667,26.667,6.333,0.667,7.0,1.616,-0.034,0.0,0.484,-0.03,0.118,0.088,-0.133,0.254,6.663,0.893,-0.538,0.355
7,Calafiori,ARS,DEF,1697,4,5.781,5.737,-0.044,0.178,0.158,-0.02,0.04,0.097,0.057,0.219,0.255,0.036,0.0,0.0,0.0,Neutral,1.156,5.781,0.053,0.106,0.689,0.178,0.04,0.219,0.515,0.318,20.631,3.712,1.697,5.41,5.737,0.0,0.0,0.717,0.158,0.097,0.255,0.273,0.717,17.928,2.151,0.359,2.51,-0.044,-0.053,-0.106,0.028,-0.02,0.057,0.036,-0.242,0.399,-2.703,-1.561,-1.338,-2.9
10,Lewis-Skelly,ARS,DEF,697,3,3.745,4.704,0.959,0.013,0.0,-0.013,0.026,0.034,0.008,0.039,0.034,-0.005,0.0,0.0,0.0,🔥 Hot,0.749,3.745,0.0,0.0,0.258,0.013,0.026,0.039,1.163,0.0,14.204,2.195,1.033,3.228,4.704,0.0,0.0,0.627,0.0,0.034,0.034,0.784,0.0,20.697,0.941,0.627,1.568,0.959,0.0,0.0,0.369,-0.013,0.008,-0.005,-0.379,0.0,6.493,-1.254,-0.406,-1.66
16,Saka,ARS,MID,2218,3,6.371,9.673,3.302,0.307,0.227,-0.08,0.291,0.589,0.298,0.598,0.816,0.218,0.0,0.0,0.0,🔥 Hot,1.274,6.371,0.284,0.406,0.487,0.307,0.291,0.598,0.632,0.73,23.129,1.136,1.623,7.466,9.673,0.421,0.841,0.841,0.227,0.589,0.816,0.484,1.682,29.86,1.262,2.103,8.411,3.302,0.137,0.435,0.354,-0.08,0.298,0.218,-0.148,0.952,6.731,0.126,0.48,0.945
20,Trossard,ARS,MID,1997,3,5.363,6.0,0.637,0.252,0.213,-0.039,0.162,0.263,0.101,0.414,0.473,0.059,0.0,0.0,0.0,Neutral,1.073,5.363,0.27,0.27,0.496,0.252,0.162,0.414,0.628,0.496,20.055,1.172,1.217,5.994,6.0,0.333,0.333,1.0,0.213,0.263,0.473,0.57,0.667,26.667,0.0,0.333,4.0,0.637,0.063,0.063,0.504,-0.039,0.101,0.059,-0.058,0.171,6.612,-1.172,-0.884,-1.994
21,Rice,ARS,MID,3093,3,5.354,4.815,-0.539,0.092,0.0,-0.092,0.213,0.174,-0.039,0.305,0.174,-0.131,0.0,0.0,0.0,Neutral,1.071,5.354,0.116,0.262,0.524,0.092,0.213,0.305,0.695,0.669,22.987,3.695,2.008,10.941,4.815,0.0,0.0,1.111,0.0,0.174,0.174,0.57,0.0,18.889,5.556,2.593,14.074,-0.539,-0.116,-0.262,0.587,-0.092,-0.039,-0.131,-0.125,-0.669,-4.098,1.861,0.585,3.133
32,Martinez,AVL,GKP,2835,3,3.81,3.333,-0.477,0.0,0.0,0.0,0.003,0.003,0.0,0.003,0.003,0.0,3.016,3.333,0.317,Neutral,0.762,3.81,0.0,0.032,0.222,0.0,0.003,0.003,1.363,0.349,16.825,0.857,0.0,0.0,3.333,0.0,0.333,0.0,0.0,0.003,0.003,1.403,0.333,14.667,0.333,0.0,0.0,-0.477,0.0,0.301,-0.222,0.0,0.0,0.0,0.04,-0.016,-2.158,-0.524,0.0,0.0
36,Cash,AVL,DEF,3016,3,3.491,2.072,-1.419,0.034,0.003,-0.031,0.088,0.056,-0.032,0.122,0.059,-0.063,0.0,0.0,0.0,🧊 Cold,0.698,3.491,0.09,0.09,0.239,0.034,0.088,0.122,1.356,0.209,13.428,3.581,1.969,5.55,2.072,0.0,0.296,0.0,0.003,0.056,0.059,1.243,0.296,9.77,2.368,2.664,5.033,-1.419,-0.09,0.206,-0.239,-0.031,-0.032,-0.063,-0.113,0.087,-3.658,-1.213,0.695,-0.517
