team,team_id,gw,fixture_id,was_home,opponent,fdr,finished,scored,conceded
LIV,12,1,1,1,BOU,3,True,4,2
BOU,4,1,1,0,LIV,4,True,2,4
AVL,2,1,2,1,NEW,3,True,0,0
NEW,15,1,2,0,AVL,4,True,0,0
BHA,6,1,3,1,FUL,2,True,1,1
FUL,10,1,3,0,BHA,4,True,1,1
TOT,18,1,6,1,BUR,1,True,3,0
BUR,3,1,6,0,TOT,3,True,0,3
SUN,17,1,5,1,WHU,2,True,3,0
WHU,19,1,5,0,SUN,3,True,0,3
WOL,20,1,7,1,MCI,4,True,0,4
MCI,13,1,7,0,WOL,2,True,4,0
CHE,7,1,8,1,CRY,3,True,0,0
CRY,8,1,8,0,CHE,4,True,0,0
NFO,16,1,4,1,BRE,3,True,3,1
BRE,5,1,4,0,NFO,3,True,1,3
MUN,14,1,9,1,ARS,4,True,0,1
ARS,1,1,9,0,MUN,4,True,1,0
LEE,11,1,10,1,EVE,3,True,1,0
EVE,9,1,10,0,LEE,3,True,0,1
WHU,19,2,20,1,CHE,3,True,1,5
CHE,7,2,20,0,WHU,3,True,5,1
MCI,13,2,18,1,TOT,3,True,0,2
TOT,18,2,18,0,MCI,5,True,2,0
BOU,4,2,12,1,WOL,1,True,1,0
WOL,20,2,12,0,BOU,3,True,0,1
BRE,5,2,13,1,AVL,3,True,1,0
AVL,2,2,13,0,BRE,3,True,0,1
BUR,3,2,14,1,SUN,2,True,2,0
SUN,17,2,14,0,BUR,2,True,0,2
ARS,1,2,11,1,LEE,2,True,5,0
LEE,11,2,11,0,ARS,5,True,0,5
CRY,8,2,15,1,NFO,3,True,1,1
NFO,16,2,15,0,CRY,3,True,1,1
EVE,9,2,16,1,BHA,3,True,2,0
BHA,6,2,16,0,EVE,3,True,0,2
FUL,10,2,17,1,MUN,4,True,1,1
MUN,14,2,17,0,FUL,3,True,1,1
NEW,15,2,19,1,LIV,4,True,2,3
LIV,12,2,19,0,NEW,3,True,3,2
CHE,7,3,23,1,FUL,2,True,2,0
FUL,10,3,23,0,CHE,4,True,0,2
MUN,14,3,26,1,BUR,1,True,3,2
BUR,3,3,26,0,MUN,4,True,2,3
TOT,18,3,29,1,BOU,3,True,0,1
BOU,4,3,29,0,TOT,3,True,1,0
SUN,17,3,28,1,BRE,3,True,2,1
BRE,5,3,28,0,SUN,3,True,1,2
WOL,20,3,30,1,EVE,3,True,2,3
EVE,9,3,30,0,WOL,2,True,3,2
LEE,11,3,24,1,NEW,3,True,0,0
NEW,15,3,24,0,LEE,3,True,0,0
BHA,6,3,22,1,MCI,4,True,2,1
MCI,13,3,22,0,BHA,4,True,1,2
NFO,16,3,27,1,WHU,2,True,0,3
WHU,19,3,27,0,NFO,3,True,3,0
LIV,12,3,25,1,ARS,4,True,1,0
ARS,1,3,25,0,LIV,4,True,0,1
AVL,2,3,21,1,CRY,3,True,0,3
CRY,8,3,21,0,AVL,4,True,3,0
