team,avg_fdr_last4gw,avg_fdr_last6gw,avg_fdr_next4gw,avg_fdr_next6gw,fixtures_next4gw,fixtures_next6gw
ARS,2.25,2.83,,,N/A,N/A
AVL,3.5,3.17,,,N/A,N/A
BHA,2.75,2.83,,,N/A,N/A
BOU,3.25,3.0,,,N/A,N/A
BRE,3.5,3.33,,,N/A,N/A
BUR,3.0,3.17,,,N/A,N/A
CHE,3.25,3.5,,,N/A,N/A
CRY,3.75,3.67,,,N/A,N/A
EVE,3.0,3.17,,,N/A,N/A
FUL,3.25,3.17,,,N/A,N/A
LEE,2.5,2.33,,,N/A,N/A
LIV,3.5,3.33,,,N/A,N/A
MCI,3.0,2.83,,,N/A,N/A
MUN,3.5,3.5,,,N/A,N/A
NEW,2.75,3.17,,,N/A,N/A
NFO,3.5,3.0,,,N/A,N/A
SUN,3.0,3.17,,,N/A,N/A
TOT,3.25,3.0,,,N/A,N/A
WHU,3.0,3.0,,,N/A,N/A
WOL,2.5,2.67,,,N/A,N/A
