team,window,total_pts,gkp_pts,def_pts,mid_pts,fwd_pts,gkp_pct,def_pct,mid_pct,fwd_pct,goal_pts,assist_pts,cs_pts,bonus_pts,save_pts,dc_pts,appearance_pts,goal_pts_pct,assist_pts_pct,cs_pts_pct,bonus_pts_pct,top1_player,top1_share,top3_share,cs_rate,cs_count,home_pts_per_gw,away_pts_per_gw,home_away_diff,form_trajectory,form_direction,team_xg,team_xa,team_xgc
ARS,4gw,260,23,95,103,39,0.088,0.365,0.396,0.15,31,21,74,26,1,10,103,0.119,0.081,0.285,0.1,Gabriel,0.092,0.262,0.75,3,77.0,53.0,24.0,6.51,Stable - Strong,8.28,5.97,2.69
ARS,6gw,352,34,131,136,51,0.097,0.372,0.386,0.145,40,24,98,33,2,18,152,0.114,0.068,0.278,0.094,Raya,0.091,0.264,0.667,4,73.33,44.0,29.33,6.51,Stable - Strong,10.56,7.53,5.05
ARS,season,2164,164,805,1007,188,0.076,0.372,0.465,0.087,325,198,462,189,9,110,958,0.15,0.091,0.213,0.087,Gabriel,0.097,0.256,0.514,19,60.68,56.17,4.51,6.51,Stable - Strong,66.98,44.0,28.54
AVL,4gw,175,12,42,82,39,0.069,0.24,0.469,0.223,40,27,0,18,3,8,102,0.229,0.154,0.0,0.103,Watkins,0.217,0.394,0.0,0,39.5,48.0,-8.5,-0.38,Stable - Average,5.78,2.7,5.55
AVL,6gw,256,17,62,114,63,0.066,0.242,0.445,0.246,57,39,0,23,5,8,155,0.223,0.152,0.0,0.09,Watkins,0.219,0.395,0.0,0,44.67,40.67,4.0,-0.38,Stable - Average,9.56,5.51,8.46
AVL,season,1677,136,556,795,190,0.081,0.332,0.474,0.113,250,153,220,120,27,64,975,0.149,0.091,0.131,0.072,Rogers,0.101,0.272,0.211,8,38.29,31.58,6.71,-0.38,Stable - Average,48.9,33.89,53.94
BHA,4gw,167,12,66,75,14,0.072,0.395,0.449,0.084,21,12,31,7,2,4,103,0.126,0.072,0.186,0.042,Hinshelwood,0.12,0.335,0.25,1,50.5,33.0,17.5,-5.25,Stable - Average,6.99,6.05,5.7
BHA,6gw,366,29,129,183,25,0.079,0.352,0.5,0.068,56,33,75,23,4,14,181,0.153,0.09,0.205,0.063,Groß,0.096,0.273,0.5,3,59.33,47.0,12.33,-5.25,Stable - Average,11.87,9.21,8.04
BHA,season,1739,130,551,881,177,0.075,0.317,0.507,0.102,247,147,260,112,22,116,992,0.142,0.085,0.15,0.064,Van Hecke,0.085,0.232,0.27,10,34.63,32.16,2.47,-5.25,Stable - Average,57.88,36.55,49.06
BOU,4gw,225,18,99,76,32,0.08,0.44,0.338,0.142,23,18,52,18,2,18,104,0.102,0.08,0.231,0.08,Senesi,0.124,0.338,0.5,2,61.0,51.5,9.5,9.66,Stable - Average,5.84,3.16,5.62
